,date,Fever,Chills,Shortness of breath,Difficulty breathing,Fatigue,Body aches,Headache,Loss of taste,Loss of smell,Sore throat,Congestion,Runny nose,Nausea,Vomiting
162,2020-06-11,25,4,5,1,7,6,47,2,2,15,16,18,50,21
163,2020-06-12,29,5,4,0,11,2,58,0,0,21,7,14,67,48
164,2020-06-13,23,7,2,1,5,0,34,2,6,17,18,5,60,31
165,2020-06-14,24,3,5,1,5,2,58,6,6,23,8,13,76,26
166,2020-06-15,30,2,3,1,11,2,55,0,0,17,16,9,74,33
167,2020-06-16,33,2,3,1,6,6,56,2,2,20,9,11,52,32
168,2020-06-17,50,4,10,2,6,4,58,8,8,33,24,16,73,38
169,2020-06-18,40,9,6,3,6,8,36,4,6,33,26,16,58,44
170,2020-06-19,38,5,4,1,7,2,35,0,2,20,21,14,57,24
171,2020-06-20,37,3,6,0,10,4,56,4,4,28,27,13,45,40
172,2020-06-21,43,7,2,0,7,4,75,11,9,31,22,5,90,33
173,2020-06-22,46,4,5,0,11,4,65,2,0,16,22,12,79,41
174,2020-06-23,41,4,3,0,11,0,54,0,4,23,19,14,71,45
175,2020-06-24,44,6,5,0,12,8,77,4,4,17,17,9,69,24
176,2020-06-25,42,4,5,0,7,4,46,0,6,25,31,14,64,28
177,2020-06-26,46,3,4,1,8,8,69,6,0,28,29,29,72,24
178,2020-06-27,47,4,4,0,7,2,58,4,6,24,29,16,58,27
179,2020-06-28,55,7,3,0,10,6,60,4,6,41,29,18,89,26
180,2020-06-29,48,7,6,2,7,8,43,2,6,49,19,14,96,36
181,2020-06-30,57,4,4,2,6,2,72,8,8,32,24,10,66,32
182,2020-07-01,49,4,5,1,5,10,51,6,6,27,34,17,72,34
183,2020-07-02,54,3,5,1,8,4,49,4,6,36,29,12,60,29
184,2020-07-03,42,7,4,1,8,4,41,14,10,27,23,23,86,43
185,2020-07-04,38,4,3,1,7,2,31,4,9,25,39,19,69,39
186,2020-07-05,46,3,5,0,9,5,46,5,7,14,20,6,93,20
187,2020-07-06,59,3,4,1,9,4,67,6,6,29,29,19,62,33
188,2020-07-07,56,5,7,2,10,8,41,0,0,39,29,32,100,39
189,2020-07-08,55,5,6,1,7,2,79,6,6,39,17,22,50,30
190,2020-07-09,48,2,4,0,10,2,61,8,8,35,35,22,65,32
191,2020-07-10,50,5,2,0,8,6,43,10,10,43,35,30,85,33
